# Please note that there may be discrepancies between your electric bill and what Sense reports due to data interruptions (such as Wi-Fi signal loss or loss of power) or other issues.,,,,,,,,
DateTime,Device ID,Name,Device Type,Device Make,Device Model,Device Location,Avg Wattage,kWh
3/1/2020 9:00,hgLq1FnZ,kasa plug,Smart Plug,,,,49.054,0.049
3/1/2020 10:00,a69d3ea2,Microwave,Microwave,,,,8.967,0.009
3/1/2020 10:00,mains,Total Usage,,,,,2604.128,2.604
3/1/2020 10:00,always_on,Always On,AlwaysOn,,,,363.916,0.364
3/1/2020 10:00,c4efa971,Fridge,Fridge,,,,14.006,0.014
3/1/2020 10:00,cfd74978,Furnace,Furnace,,,,166.848,0.167
3/1/2020 10:00,solar,Solar Production,Solar,,,,-3646.098,-3.646
3/1/2020 10:00,hgLq1FnZ,kasa plug,Smart Plug,,,,0.102,0
3/1/2020 11:00,a69d3ea2,Microwave,Microwave,,,,24.397,0.024
3/1/2020 11:00,mains,Total Usage,,,,,5491.834,5.492
3/1/2020 11:00,always_on,Always On,AlwaysOn,,,,397,0.397
3/1/2020 11:00,c4efa971,Fridge,Fridge,,,,151.1,0.151
3/1/2020 11:00,cfd74978,Furnace,Furnace,,,,258.873,0.259
3/1/2020 11:00,solar,Solar Production,Solar,,,,-5363.438,-5.363
3/1/2020 11:00,62987bff,Dryer,Dryer,,,,812.246,0.812
3/1/2020 11:00,c947eccb,Motor 1,Mystery Motor,,,,73.71,0.074
3/1/2020 11:00,63b2178f,Furnace1,Mystery Heat,,,,134.852,0.135
3/1/2020 11:00,hgLq1FnZ,kasa plug,Smart Plug,,,,0.097,0
3/1/2020 12:00,mains,Total Usage,,,,,2324.175,2.324
3/1/2020 12:00,always_on,Always On,AlwaysOn,,,,397,0.397
3/1/2020 12:00,c4efa971,Fridge,Fridge,,,,82.82,0.083
3/1/2020 12:00,cfd74978,Furnace,Furnace,,,,364.551,0.365
3/1/2020 12:00,solar,Solar Production,Solar,,,,-6326.364,-6.326
3/1/2020 12:00,63b2178f,Furnace1,Mystery Heat,,,,58.382,0.058
3/1/2020 13:00,mains,Total Usage,,,,,2641.742,2.642
3/1/2020 13:00,always_on,Always On,AlwaysOn,,,,397.266,0.397
3/1/2020 13:00,c4efa971,Fridge,Fridge,,,,68.624,0.069
3/1/2020 13:00,solar,Solar Production,Solar,,,,-4810.665,-4.811
3/1/2020 13:00,62987bff,Dryer,Dryer,,,,1574.069,1.574
3/1/2020 13:00,c947eccb,Motor 1,Mystery Motor,,,,106.657,0.107
3/1/2020 14:00,a69d3ea2,Microwave,Microwave,,,,102.605,0.103
3/1/2020 14:00,mains,Total Usage,,,,,2675.705,2.676
3/1/2020 14:00,always_on,Always On,AlwaysOn,,,,401.5,0.401
3/1/2020 14:00,c4efa971,Fridge,Fridge,,,,28.613,0.029
3/1/2020 14:00,solar,Solar Production,Solar,,,,-2289.606,-2.29
3/1/2020 14:00,62987bff,Dryer,Dryer,,,,1589.59,1.59
3/1/2020 14:00,c947eccb,Motor 1,Mystery Motor,,,,112.074,0.112
3/1/2020 15:00,mains,Total Usage,,,,,2308.497,2.308
3/1/2020 15:00,always_on,Always On,AlwaysOn,,,,404.466,0.404
3/1/2020 15:00,c4efa971,Fridge,Fridge,,,,9.905,0.01
3/1/2020 15:00,cfd74978,Furnace,Furnace,,,,122.571,0.123
3/1/2020 15:00,solar,Solar Production,Solar,,,,-2056.812,-2.057
3/1/2020 15:00,e5c541e5,Dryer - Small,Mystery Heat,,,,66.415,0.066
3/1/2020 15:00,62987bff,Dryer,Dryer,,,,108.547,0.109
3/1/2020 15:00,c947eccb,Motor 1,Mystery Motor,,,,150.189,0.15
3/1/2020 16:00,mains,Total Usage,,,,,1084.956,1.085
3/1/2020 16:00,always_on,Always On,AlwaysOn,,,,405.566,0.406
3/1/2020 16:00,c4efa971,Fridge,Fridge,,,,34.971,0.035
3/1/2020 16:00,solar,Solar Production,Solar,,,,-538.979,-0.539
3/1/2020 17:00,79c90314,Oven,Oven,,,,75.723,0.076
3/1/2020 17:00,6ce5fddc,Pressure cooker ,Other Appliance,,,,192.171,0.192
3/1/2020 17:00,mains,Total Usage,,,,,3708.853,3.709
3/1/2020 17:00,always_on,Always On,AlwaysOn,,,,408,0.408
3/1/2020 17:00,c4efa971,Fridge,Fridge,,,,52.045,0.052
3/1/2020 17:00,cfd74978,Furnace,Furnace,,,,170.289,0.17
3/1/2020 17:00,solar,Solar Production,Solar,,,,-52.167,-0.052
3/1/2020 18:00,a69d3ea2,Microwave,Microwave,,,,10.193,0.01
3/1/2020 18:00,mains,Total Usage,,,,,1471.331,1.471
3/1/2020 18:00,always_on,Always On,AlwaysOn,,,,408,0.408
3/1/2020 18:00,c4efa971,Fridge,Fridge,,,,103.962,0.104
3/1/2020 18:00,cfd74978,Furnace,Furnace,,,,125.264,0.125
3/1/2020 18:00,solar,Solar Production,Solar,,,,4.013,0.004
3/1/2020 18:00,63b2178f,Furnace1,Mystery Heat,,,,25.548,0.026
3/1/2020 19:00,a69d3ea2,Microwave,Microwave,,,,6.389,0.006
3/1/2020 19:00,mains,Total Usage,,,,,1451.379,1.451
3/1/2020 19:00,always_on,Always On,AlwaysOn,,,,408,0.408
3/1/2020 19:00,c4efa971,Fridge,Fridge,,,,126.903,0.127
3/1/2020 19:00,cfd74978,Furnace,Furnace,,,,350.459,0.35
3/1/2020 19:00,solar,Solar Production,Solar,,,,4.332,0.004
3/1/2020 19:00,63b2178f,Furnace1,Mystery Heat,,,,56.033,0.056
3/1/2020 20:00,mains,Total Usage,,,,,1129.224,1.129
3/1/2020 20:00,always_on,Always On,AlwaysOn,,,,408,0.408
3/1/2020 20:00,c4efa971,Fridge,Fridge,,,,39.169,0.039
3/1/2020 20:00,cfd74978,Furnace,Furnace,,,,292.472,0.292
3/1/2020 20:00,solar,Solar Production,Solar,,,,3.505,0.004
3/1/2020 20:00,63b2178f,Furnace1,Mystery Heat,,,,52.307,0.052
3/1/2020 21:00,mains,Total Usage,,,,,1279.847,1.28
3/1/2020 21:00,always_on,Always On,AlwaysOn,,,,408,0.408
3/1/2020 21:00,c4efa971,Fridge,Fridge,,,,55.025,0.055
